Anthropogenic Sulfur dioxide emissions (TgS)	
ver 1.1
Year	Total Emissions
1850	1.5
1851	1.5
1852	1.6
1853	1.6
1854	1.8
1855	1.8
1856	1.9
1857	1.9
1858	2.0
1859	2.1
1860	2.2
1861	2.2
1862	2.3
1863	2.4
1864	2.5
1865	2.6
1866	2.7
1867	2.9
1868	3.0
1869	3.1
1870	3.2
1871	3.3
1872	3.6
1873	3.8
1874	3.6
1875	3.8
1876	3.9
1877	4.0
1878	4.0
1879	4.3
1880	4.7
1881	4.9
1882	5.1
1883	5.4
1884	5.5
1885	5.6
1886	5.6
1887	5.9
1888	6.5
1889	6.4
1890	7.0
1891	7.3
1892	7.5
1893	7.4
1894	7.6
1895	8.0
1896	8.3
1897	8.6
1898	9.1
1899	9.9
1900	10.3
1901	10.8
1902	11.1
1903	12.1
1904	12.2
1905	13.0
1906	13.6
1907	15.2
1908	14.6
1909	15.4
1910	16.1
1911	16.3
1912	17.1
1913	18.2
1914	16.6
1915	16.8
1916	18.4
1917	19.2
1918	19.2
1919	16.3
1920	18.5
1921	16.1
1922	16.5
1923	19.4
1924	19.3
1925	19.7
1926	19.9
1927	21.2
1928	21.4
1929	22.9
1930	20.9
1931	18.7
1932	16.5
1933	17.5
1934	19.2
1935	20.3
1936	22.4
1937	24.3
1938	22.7
1939	24.0
1940	26.6
1941	27.9
1942	28.7
1943	29.8
1944	29.4
1945	23.8
1946	25.3
1947	28.4
1948	29.3
1949	28.3
1950	31.1
1951	33.5
1952	34.1
1953	35.3
1954	36.0
1955	39.7
1956	42.3
1957	43.5
1958	44.1
1959	46.2
1960	48.6
1961	48.4
1962	49.9
1963	51.7
1964	54.3
1965	56.5
1966	58.3
1967	58.7
1968	61.1
1969	63.8
1970	67.9
1971	68.3
1972	69.5
1973	71.1
1974	70.4
1975	69.9
1976	71.6
1977	72.8
1978	73.0
1979	74.9
1980	73.2
1981	70.6
1982	69.6
1983	68.1
1984	68.7
1985	69.0
1986	68.8
1987	69.6
1988	69.8
1989	69.9
1990	70.8
1991	68.7
1992	67.0
1993	66.0
1994	65.7
1995	65.3
1996	64.7
1997	64.0
1998	63.1
1999	62.1
2000	61.8
2001	61.8
2002	61.8
2101	61.8	
2201	61.8	
2501	61.8	
3001	61.8	
