Data downloaded from EEA Airbase viewer. 
 Data download filter: 
 Countries: All available
 components: Particulate matter < 2.5 µm (aerosol)
 type of stations: All available
 station areas: All available
 years: 2005
Component	Year	Avg.time	Country	EU-code	Station	MeasurementUnit	PercentageVal	num_Val	annual mean	
Particulate matter < 2.5 µm (aerosol)	2005	hour	BA	BA0031A	SKVER - MS1	ug/m3	97.489	8540	65.693	
Particulate matter < 2.5 µm (aerosol)	2005	hour	BA	BA0032A	TUZLA1 - MS2	ug/m3	75.228	6590	75.225	
Particulate matter < 2.5 µm (aerosol)	2005	hour	CZ	CZ0011A	Pha5-Mlynarka	ug/m3	96.187	8426	23.044	
Particulate matter < 2.5 µm (aerosol)	2005	hour	CZ	CZ0020A	Pha4-Libus	ug/m3	96.804	8480	24.506	
Particulate matter < 2.5 µm (aerosol)	2005	hour	CZ	CZ0022A	Usti n.L.-Kockov	ug/m3	99.441	8711	22.470	
Particulate matter < 2.5 µm (aerosol)	2005	hour	CZ	CZ0024A	Teplice	ug/m3	98.539	8632	26.848	
Particulate matter < 2.5 µm (aerosol)	2005	hour	CZ	CZ0029A	Most	ug/m3	97.728	8561	23.960	
Particulate matter < 2.5 µm (aerosol)	2005	hour	CZ	CZ0034A	Sokolov	ug/m3	97.306	8524	18.451	
Particulate matter < 2.5 µm (aerosol)	2005	hour	CZ	CZ0038A	Ostrava-Zabreh	ug/m3	99.304	8699	38.651	
Particulate matter < 2.5 µm (aerosol)	2005	hour	CZ	CZ0042A	Brno-Turany	ug/m3	97.511	8542	26.348	
Particulate matter < 2.5 µm (aerosol)	2005	hour	CZ	CZ0046A	Trinec-Kosmos	ug/m3	62.112	5441	29.352	
Particulate matter < 2.5 µm (aerosol)	2005	hour	CZ	CZ0053A	Olomouc	ug/m3	96.792	8479	28.021	
Particulate matter < 2.5 µm (aerosol)	2005	hour	CZ	CZ0059A	Ceske Budejovice	ug/m3	99.452	8712	20.340	
Particulate matter < 2.5 µm (aerosol)	2005	hour	CZ	CZ0061A	Vernovice	ug/m3	97.979	8583	44.932	
Particulate matter < 2.5 µm (aerosol)	2005	hour	CZ	CZ0068A	Beroun	ug/m3	80.217	7027	31.843	
Particulate matter < 2.5 µm (aerosol)	2005	hour	CZ	CZ0071A	Liberec-mesto	ug/m3	99.760	8739	24.467	
Particulate matter < 2.5 µm (aerosol)	2005	hour	CZ	CZ0073A	Pardubice Dukla	ug/m3	97.797	8567	22.224	
Particulate matter < 2.5 µm (aerosol)	2005	hour	CZ	CZ0075A	Zlin	ug/m3	99.144	8685	28.235	
Particulate matter < 2.5 µm (aerosol)	2005	hour	CZ	CZ0079A	Ostrava - Privoz	ug/m3	95.000	8322	43.648	
