Data downloaded from EEA Airbase viewer. 
 Data download filter: 
 Countries: All available
 components: Particulate matter < 2.5 µm (aerosol)
 type of stations: All available
 station areas: All available
 years: 2005
station_european_code	station_local_code	country_iso_code	country_name	station_name	station_start_date	station_end_date	type_of_station	station_type_of_area	station_subcat_rural_back	street_type	station_longitude_deg	station_latitude_deg	station_longitude_dms	station_latitude_dms	station_altitude	station_nuts_level0	station_nuts_level1	station_nuts_level2	station_nuts_level3	lau_level1_code	lau_level2_code	lau_level2_name	sabe_country_code	sabe_unit_code	sabe_unit_name	station_city	
BA0031A		BA	BOSNIA - HERZEGOVINA	SKVER - MS1	1-1-2004		Traffic	urban		Wide street: L/H > 1.5	18.70000100	44.54999900			220											TUZLA	
BA0032A		BA	BOSNIA - HERZEGOVINA	TUZLA1 - MS2	1-1-2004		Traffic	suburban		Wide street: L/H > 1.5	18.70000100	44.54999900			210											TUZLA	
CZ0068A	SBER	CZ	CZECH REPUBLIC	Beroun	7-7-1993		Traffic	urban		Wide street: L/H > 1.5	14.06080000	49.95920000			216					2	531057	Beroun				BEROUN	
CZ0097A	TBOM	CZ	CZECH REPUBLIC	Bohumin	1-5-1993		Background	suburban			11.34720000	49.90420000			200											BOHUMIN	
CZ0042A	BBNY	CZ	CZECH REPUBLIC	Brno-Turany	1-2-1992		Background	suburban			16.69610000	49.14890000			241					2	582786	Brno				BRNO	
CZ0059A	CCBD	CZ	CZECH REPUBLIC	Ceske Budejovice	1-2-1992		Background	urban			14.46560000	48.98440000			383					1	544256	Ceské Budejovice				CESKE BUDEJOVICE	
CZ0086A	HHKB	CZ	CZECH REPUBLIC	Hradec Kralove-Brnen	1-1-2004		Traffic	urban		Wide street: L/H > 1.5	15.84640000	50.19530000			232					1	569810	Hradec Králové				HRADEC KRALOVE	
CZ0088A	JJIH	CZ	CZECH REPUBLIC	Jihlava	3-10-2003		Background	urban			15.60970000	49.40280000			502					2	586846	Jihlava				JIHLAVA	
CZ0089A	SKLM	CZ	CZECH REPUBLIC	Kladno-stred mesta	10-2-1999		Background	urban			14.10220000	50.14330000			303					3	532053	Kladno				KLADNO	
CZ0071A	LLIM	CZ	CZECH REPUBLIC	Liberec-mesto	1-12-1992		Background	urban		Wide street: L/H > 1.5	15.05640000	50.76500000			350					3	563889	Liberec				LIBEREC	
CZ0029A	UMOM	CZ	CZECH REPUBLIC	Most	1-2-1992		Background	urban			13.64861100	50.51055500			221					5	567027	Most				MOST	
CZ0053A	MOLO	CZ	CZECH REPUBLIC	Olomouc	1-2-1992		Background	urban			17.24560000	49.59920000			214					2	500496	Olomouc				OLOMOUC	
CZ0079A	TOPR	CZ	CZECH REPUBLIC	Ostrava - Privoz	31-12-1998		Industrial	urban		Wide street: L/H > 1.5	18.27166600	49.85638800			207					6	554821	Ostrava				OSTRAVA	
CZ0038A	TOZR	CZ	CZECH REPUBLIC	Ostrava-Zabreh	1-2-1992		Background	urban			18.24720000	49.79640000			235					6	554821	Ostrava				OSTRAVA	
CZ0073A	EPAU	CZ	CZECH REPUBLIC	Pardubice Dukla	1-2-2001		Background	urban		Wide street: L/H > 1.5	15.76222200	50.02416600			239					2	555134	Pardubice				PARDUBICE	
CZ0020A	ALIB	CZ	CZECH REPUBLIC	Pha4-Libus	1-2-1992		Background	suburban			14.44900000	50.00800000			301					0	554782	Praha				PRAHA	
CZ0011A	AMLY	CZ	CZECH REPUBLIC	Pha5-Mlynarka	1-2-1992		Traffic	urban		Wide street: L/H > 1.5	14.38700000	50.07200000			233					0	554782	Praha				PRAHA	
CZ0082A	AKAL	CZ	CZECH REPUBLIC	Pha8-Karlin	1-5-2004		Traffic	urban		Wide street: L/H > 1.5	14.44220000	50.09420000			203					0	554782	Praha				PRAGUE	
CZ0083A	AVYN	CZ	CZECH REPUBLIC	Pha9-Vysocany	1-1-2004		Traffic	urban		Wide street: L/H > 1.5	14.50280000	50.11110000			219					0	554782	Praha				PRAGUE	
CZ0112A	PPLA	CZ	CZECH REPUBLIC	Plzen-Slovany	9-2-1996		Traffic	urban			13.40220000	49.73250000			340					3	554791	Plzen					
CZ0034A	KSOM	CZ	CZECH REPUBLIC	Sokolov	1-1-1993		Background	suburban			12.67000000	50.17527800			476					3	560286	Sokolov				SOKOLOV	
CZ0024A	UTEM	CZ	CZECH REPUBLIC	Teplice	1-2-1992		Background	urban			13.82750000	50.64027800			225					6	567442	Teplice				TEPLICE	
CZ0046A	TTRO	CZ	CZECH REPUBLIC	Trinec-Kosmos	1-2-1992		Background	urban			18.68000000	49.66861300			320					2	598810	Trinec				TRINEC	
CZ0022A	UULK	CZ	CZECH REPUBLIC	Usti n.L.-Kockov	1-2-1992		Background	suburban			14.04250000	50.68440000			367					7	568023	Chuderov				USTI NAD LABEM	
CZ0061A	TVER	CZ	CZECH REPUBLIC	Vernovice	1-2-1992		Background	rural	near city		18.42440000	49.92500000			203					3	598968	Dolní Lutyne					
CZ0075A	ZZLN	CZ	CZECH REPUBLIC	Zlin	21-8-2003		Background	suburban		Wide street: L/H > 1.5	17.66720000	49.23330000			258					4	585068	Zlín				ZLIN	
DENI048	DENI048	DE	GERMANY	DENI048:Hannover Verkehr	1-7-1989		Traffic	urban	unknown		9.71500000	52.36055400			60												
DENI054	DENI054	DE	GERMANY	DENI054:Hannover	1-1-1988		Background	urban	unknown		9.70638900	52.36333300			80												
DEST072	DEST072	DE	GERMANY	DEST072:Halle/Ost	15-4-1993		Background	suburban	unknown		12.00583400	51.48638900			100						15202000	Halle (Saale), Stadt				HALLE/SAALE	
DEST075	DEST075	DE	GERMANY	DEST075:Halle/Merseburger Strasse	22-2-1994		Traffic	urban	unknown		11.98500100	51.47666500			100						15202000	Halle (Saale), Stadt					
DEST098	DEST098	DE	GERMANY	DEST098:Unterharz / Friedrichsbrunn	24-6-2003		Background	rural	regional		11.04444500	51.66250200			410					153646406	15364020	Siptenfelde					
DEHH008	DEHH008	DE	GERMANY	DEHH008:HH Sternschanze	1-3-1984		Background	urban	unknown	Wide street: L/H > 1.5	9.96916600	53.56555600			15						02000000	Hamburg, Freie und Hansestadt				HAMBURG	
DEHH015	DEHH015	DE	GERMANY	DEHH015:HH Veddel	1-7-1984		Background	urban	unknown		10.02250000	53.52472300			4						02000000	Hamburg, Freie und Hansestadt				HAMBURG	
DEHH021	DEHH021	DE	GERMANY	DEHH021:HH Tatenberg	1-1-1985		Background	suburban	unknown		10.08500000	53.48916600			2						02000000	Hamburg, Freie und Hansestadt				HAMBURG	
DEHE037	DEHE037	DE	GERMANY	DEHE037:Wiesbaden-Ringkirche	1-8-1991		Traffic	urban	unknown	Wide street: L/H > 1.5	8.23166700	50.07833100			140						06414000	Wiesbaden, Landeshauptstadt				WIESBADEN	
DERP009	DERP009	DE	GERMANY	DERP009:Mainz-Zitadelle	1-1-1978		Traffic	urban	unknown	Wide street: L/H > 1.5	8.27527700	49.99611300			110						07315000	Mainz, Stadt				MAINZ	
DERP017	DERP017	DE	GERMANY	DERP017:Pfälzerwald-Hortenkopf	1-1-1986		Background	rural	unknown		7.82777800	49.27138900			606					073400704	07340031	Merzalben				HORTENKOPF	
DERP032	DERP032	DE	GERMANY	DERP032:Neuwied-Heddesdorfer Straße	1-1-1994		Traffic	urban	unknown	Wide street: L/H > 1.5	7.46638900	50.41444800			65					071370708	07137228	Weißenthurm, Stadt				NEUWIED	
DK0034A	1103	DK	DENMARK	H.C.Andersens Boulevard - City	1-1-1987		Traffic	urban		Wide street: L/H > 1.5	12.57111100	55.66916700			5						101	København				COPENHAGEN	
DK0045A	1259	DK	DENMARK	Copenhagen/1259	1-1-1992		Background	urban			12.56694400	55.70027900			25						101	København				COPENHAGEN	
DK0041A	2090	DK	DENMARK	Lille Valby/2090	1-1-1990		Background	rural			12.12250000	55.70111100			10						255	Gundsø					
ES0901A	15017002	ES	SPAIN	ES0901A-S. VICENTE DE VIGO	1-1-1980		Industrial	rural	regional	Unknown	-8.31722300	43.23500100			160						15021	Carral				CAMBRE	
ES1747A	31201014	ES	SPAIN	ES1747A-ROTXAPEA	1-8-2002		Background	urban	unknown	Unknown	-1.64944400	42.82694600			418											PAMPLONA/IRUÑA	
ES1749A	31010001	ES	SPAIN	ES1749A-ALSASUA	1-7-2001		Background	suburban	unknown	Unknown	-2.16583300	42.89444400			530											ALTSASU/ALSASUA	
ES1755A	31216001	ES	SPAIN	ES1755A-SANGUESA	1-7-2001		Industrial	suburban	unknown	Unknown	-1.28250000	42.58055500			397											SANGÜESA/ZANGOZA	
ES1400A	50059001	ES	SPAIN	ES1400A-BUJARALOZ	1-1-1995		Traffic	rural	near city	Unknown	-0.15194400	41.50555400			327						50059	Bujaraloz				BUJARALOZ	
ES1417A	22125001	ES	SPAIN	ES1417A-HUESCA	1-6-1995		Traffic	urban	unknown	Unknown	-0.40388900	42.13611200			488						22125	Huesca				HUESCA	
ES1418A	50008001	ES	SPAIN	ES1418A-ALAGÓN	1-6-1995		Traffic	rural	near city	Unknown	-1.14333300	41.76277800			235						50008	Alagón				ALAGÓN	
ES1420A	22158001	ES	SPAIN	ES1420A-MONZÓN	1-6-1995		Industrial	rural	near city	Unknown	0.19694400	41.91861000			279						22158	Monzón				MONZÓN	
ES1421A	44216001	ES	SPAIN	ES1421A-TERUEL	1-6-1995		Traffic	urban	unknown	Unknown	-1.10666700	40.33638800			915						44216	Teruel				TERUEL	
ES1288A	37274008	ES	SPAIN	ES1288A-PLAZA DE COLÓN	1-1-1993		Traffic	urban	unknown	Unknown	-5.66833300	40.96750000			797						37274	Salamanca				SALAMANCA	
ES1298A	34225001	ES	SPAIN	ES1298A-FACTORÍA DE PALENCIA	1-11-1994		Industrial	suburban	unknown	Unknown	-4.49444400	41.96138900			734						34904	Pernía (La)				VILLAMURIEL DE CERRATO	
ES1443A	9059006	ES	SPAIN	ES1443A-BURGOS 4	1-5-1995		Background	suburban	unknown	Unknown	-3.63611100	42.33611300			929						09074	Cardeñajimeno				BURGOS	
ES1631A	47186027	ES	SPAIN	ES1631A-ARCO DE LADRILLO II	1-5-2002		Traffic	urban	unknown	Unknown	-4.73027800	41.64555700			700											VALLADOLID	
ES1601A	6015001	ES	SPAIN	ES1601A-BADAJOZ	31-5-2001		Background	suburban	unknown	Unknown	-6.97083300	38.88666700			390						06015	Badajoz				BADAJOZ	
