COUNTRY,CITY,POP,LAT,LON,pm10,SO2,NO2
Ghana,Accra,"1,981",5,0,33,,
India,Ahmadabad,"5,120",23,72,83,30,21
Netherlands,Amsterdam,"1,147",52,4,34,10,58
Turkey,Ankara,"3,573",39,32,46,55,46
China,Anshan,"1,611",41,122,82,115,88
Greece,Athens,"3,230",37,23,43,34,64
NewZealand,Auckland,"1,148",-36,174,14,3,20
India,Bangalore,"6,462",12,77,45,,
Thailand,Bangkok,"6,593",13,100,79,11,23
Spain,Barcelona,"4,795",41,2,35,11,43
China,Beijing,"10,717",39,116,89,90,122
Germany,Berlin,"3,389",52,13,22,18,26
UK,Birmingham,"2,280",52,1,25,9,45
Colombia,Bogotá,"7,747",4,-74,31,,
Slovak,Bratislava,456,48,17,15,21,27
Belgium,Brussels,"1,012",50,4,28,20,48
Romania,Bucharest,"1,934",44,26,18,10,71
Hungary,Budapest,"1,693",47,19,19,39,51
"Egypt,",Cairo,"11,128",30,31,169,69,
SouthAfrica,CapeTown,"3,083",-33,18,16,21,72
Venezuela,Caracas,"2,913",10,-67,10,33,57
China,Changchun,"3,046",43,125,74,21,64
China,Chengdu,"4,065",30,104,86,77,74
USA,Chicago,"8,814",41,-87,25,14,57
China,Chongqing,"6,363",29,106,123,340,70
Denmark,Copenhagen,"1,088",55,12,21,7,54
Argentina,Córdoba,"1,423",-31,-64,58,,97
China,Dalian,"3,073",38,121,50,61,100
India,Delhi,"15,048",28,77,150,24,41
Ireland,Dublin,"1,037",53,6,19,20,
SouthAfrica,Durban,"2,631",-29,30,32,31,
Germany,Frankfurt,668,50,8,19,11,45
China,Guangzhou,"8,425",23,113,63,57,136
Ecuador,Guayaquil,"2,387",-2,-79,23,15,
China,Guiyang,"3,447",26,106,70,424,53
China,Harbin,"3,695",45,126,77,23,30
Cuba,Havana,"2,189",23,-82,21,1,5
Finland,Helsinki,"1,091",60,25,21,4,35
India,Hyderabad,"6,115",17,78,41,12,17
Turkey,Istanbul,"9,712",40,28,55,120,
Indonesia,Jakarta,"13,215",-6,106,104,,
China,Jinan,"2,743",36,116,94,132,45
SouthAfrica,Johannesburg,"3,254",-26,28,33,19,31
India,Kanpur,"3,018",26,80,109,15,14
Poland,Katowice,"2,914",50,19,39,83,79
Ukraine,Kiev,"2,672",50,30,35,14,51
India,Kolkata,"14,277",22,88,128,49,34
Malaysia,Kuala,"1,405",3,101,29,24,
China,Kunming,"2,837",25,102,70,19,33
China,Lanzhou,"2,411",36,103,91,102,104
Portugal,Lisbon,"2,761",38,9,23,8,52
China,Liupanshui,"1,149",26,104,59,102,
Poland,Lódz,776,51,19,39,21,43
UK,London,"8,505",51,0,21,25,77
USA,LosAngeles,"12,298",33,-118,34,9,74
India,Lucknow,"2,566",26,80,109,26,25
India,Madras,"6,916",13,80,37,15,17
Spain,Madrid,"5,608",40,-3,30,24,66
UK,Manchester,"2,228",53,-2,15,26,49
Philippines,Manila,"10,686",14,120,39,33,
Australia,Melbourne,"3,626",-37,144,12,..,30
Mexico,Mexico,"19,411",19,-99,51,74,130
Italy,Milan,"2,953",45,9,30,31,248
Canada,Montréal,"3,640",45,-73,19,10,42
Russian,Moscow,"10,654",55,37,21,109,
India,Mumbai,"18,196",19,72,63,33,39
Germany,Munich,"1,263",48,11,20,8,53
India,Nagpur,"2,350",21,79,56,6,13
Kenya,Nairobi,"2,773",-1,36,43,,
China,Nanchang,"2,188",28,115,78,69,29
USA,NYCNewark,"18,718",40,-73,21,26,79
Russian,Omsk,"1,132",54,73,22,20,34
Japan,Osaka-Kobe,"11,268",34,135,35,19,63
Norway,Oslo,802,59,10,14,8,43
France,Paris,"9,820",48,2,11,14,57
Australia,Perth,"1,474",-31,115,12,5,19
China,Pingxiang,905,27,113,67,75,
Czech,Prague,"1,171",50,14,23,14,33
India,Pune,"4,409",18,73,47,,
"Korea,",Pusan,"3,554",35,128,44,60,51
China,Quingdao,"2,817",36,120,68,190,64
Ecuador,Quito,"1,514",0,-78,30,22,
Iceland,Reykjavik,164,64,-21,18,5,42
Brazil,Rio,"11,469",-22,-43,35,129,
Italy,Rome,"3,348",41,12,29,,
Chile,Santiago,"5,683",-33,-70,61,29,81
Brazil,São,"18,333",-23,-46,40,43,83
"Korea,",Seoul,"9,645",37,126,41,44,60
China,Shanghai,"14,503",31,121,73,53,73
China,Shenyang,"4,720",41,123,101,99,73
Singapore,Singapore,"4,326",1,103,44,20,30
Bulgaria,Sofia,"1,093",42,23,61,39,122
Sweden,Stockholm,"1,708",59,18,11,3,20
Australia,Sydney,"4,331",-33,151,20,28,81
Korea,Taegu,"2,511",35,128,50,81,62
China,Taiyuan,"2,794",37,112,88,211,55
Iran,Tehran,"7,314",35,51,58,209,
China,Tianjin,"7,040",39,117,125,82,50
Japan,Tokyo,"35,197",35,139,40,18,68
Canada,Toronto,"5,312",43,79,22,17,43
Italy,Turin,"1,660",45,7,44,,
Canada,Vancouver,"2,188",49,-123,13,14,37
Austria,Vienna,"2,260",48,16,41,14,42
Poland,Warsaw,"1,680",52,21,43,16,32
China,Wuhan,"7,093",30,-114,79,40,43
China,Wulumqi,"2,025",43,87,57,60,70
Japan,Yokohama,"3,366",35,139,31,100,13
Croatia,Zagreb,908,45,15,33,31,
China,Zhengzhou,"2,590",34,113,97,63,95
China,Zibo,"2,982",35,118,74,198,43
Switzerland,Zurich,"1,144",47,8,23,11,39
